Champion,Popularity,Win Rate
Sona,27.04,69.03
Galio,5.27,64.13
Wukong,14.29,58.76
Malzahar,12.14,56.79
Skarner,2.92,56.79
Jax,6.67,56.69
Maokai,12.43,55.58
Diana,6.31,55.36
Evelynn,11.62,55.23
Karthus,11.36,55.16
Fiora,6.47,55.02
Hecarim,23.67,54.97
Zed,32.42,54.97
Orianna,4.67,54.72
Xin Zhao,9.03,54.72
Poppy,5.26,54.49
Vladimir,10.77,54.12
Shaco,27.51,54.09
Ahri,14.07,53.65
Zyra,4.17,53.41
Sivir,5.64,53.32
Master Yi,17.00,53.29
Soraka,8.08,53.24
Ezreal,39.49,53.13
Nami,7.57,53.06
Morgana,13.67,53.03
Jayce,11.85,52.95
Nocturne,1.65,52.80
Karma,8.43,52.66
Fizz,15.71,52.63
Tryndamere,5.72,52.62
Shen,6.40,52.55
Lulu,5.77,52.48
Kog'Maw,5.76,52.29
Urgot,7.59,51.96
Kennen,3.87,51.85
Syndra,6.49,51.75
Annie,9.86,51.71
Talon,7.36,51.70
Malphite,10.73,51.56
Kayle,5.05,51.47
Cho'Gath,8.81,51.47
Sejuani,2.85,51.41
Janna,2.99,51.18
Rumble,3.13,51.07
Twisted Fate,7.28,50.83
Yorick,3.85,50.83
Blitzcrank,23.23,50.72
Amumu,7.76,50.60
Irelia,2.82,50.40
Swain,6.20,50.37
Mordekaiser,4.80,50.12
Graves,4.10,50.08
Dr. Mundo,5.03,50.02
Nautilus,5.36,50.02
Gangplank,11.51,50.00
Katarina,17.83,49.89
Varus,3.60,49.81
Alistar,12.67,49.80
Azir,8.99,49.65
Darius,5.21,49.65
Lux,20.67,49.40
Nasus,13.10,49.22
Jarvan IV,3.04,49.08
Nidalee,30.39,48.98
Quinn,1.70,48.60
Warwick,4.10,48.45
Veigar,8.41,48.36
Heimerdinger,5.26,48.29
Zac,1.53,48.15
Taric,3.03,48.07
Draven,1.87,48.05
Teemo,19.35,48.01
Riven,14.79,47.93
Rammus,2.59,47.82
Ziggs,10.12,47.76
Ashe,10.57,47.31
Ryze,10.71,46.44
Volibear,1.92,46.38
Vi,6.12,46.35
Aatrox,1.53,46.31
Vel'Koz,8.72,46.31
Leona,8.39,45.95
Udyr,5.59,45.77
Rengar,5.01,45.66
Kha'Zix,4.40,45.60
Renekton,1.68,45.45
Shyvana,0.96,45.42
Lucian,13.78,45.29
Trundle,1.21,45.19
Pantheon,6.21,44.96
Lissandra,3.98,44.95
Miss Fortune,2.50,44.93
Fiddlesticks,6.01,44.92
Xerath,6.07,44.65
Braum,1.55,44.59
Caitlyn,3.22,44.54
Sion,4.49,44.52
Jinx,15.27,44.35
Brand,6.16,44.17
Singed,2.96,44.07
Viktor,3.91,44.05
Gragas,3.17,43.35
Olaf,1.87,43.27
Twitch,2.27,43.21
Tristana,3.26,42.81
Vayne,5.22,42.78
Kassadin,12.51,42.61
LeBlanc,20.49,42.41
Garen,3.64,42.01
Nunu,4.16,41.96
Akali,6.91,41.71
Rek'Sai,3.29,41.59
Lee Sin,7.02,41.52
Anivia,3.36,41.43
Corki,3.24,40.90
Elise,0.97,39.96
Yasuo,6.30,39.44
Cassiopeia,3.30,38.82
Zilean,4.50,38.66
Gnar,2.51,38.66
Kalista,2.08,36.82
Thresh,5.44,34.32
Bard,11.81,30.75
